"DATE","TIME PERIOD","Polish zloty/Euro (EXR.Q.PLN.EUR.SP00.A)"
"1999-03-31","1999Q1","4.2202"
"1999-06-30","1999Q2","4.1847"
"1999-09-30","1999Q3","4.1682"
"1999-12-31","1999Q4","4.3372"
"2000-03-31","2000Q1","4.0579"
"2000-06-30","2000Q2","4.0892"
"2000-09-30","2000Q3","3.9708"
"2000-12-31","2000Q4","3.9157"
"2001-03-31","2001Q1","3.7738"
"2001-06-30","2001Q2","3.4840"
"2001-09-30","2001Q3","3.7611"
"2001-12-31","2001Q4","3.6623"
"2002-03-31","2002Q1","3.6182"
"2002-06-30","2002Q2","3.7169"
"2002-09-30","2002Q3","4.0810"
"2002-12-31","2002Q4","3.9970"
"2003-03-31","2003Q1","4.1892"
"2003-06-30","2003Q2","4.3560"
"2003-09-30","2003Q3","4.4244"
"2003-12-31","2003Q4","4.6232"
"2004-03-31","2004Q1","4.7763"
"2004-06-30","2004Q2","4.6877"
"2004-09-30","2004Q3","4.4236"
"2004-12-31","2004Q4","4.2342"
"2005-03-31","2005Q1","4.0267"
"2005-06-30","2005Q2","4.1301"
"2005-09-30","2005Q3","4.0186"
"2005-12-31","2005Q4","3.9152"
"2006-03-31","2006Q1","3.8346"
"2006-06-30","2006Q2","3.9482"
"2006-09-30","2006Q3","3.9537"
"2006-12-31","2006Q4","3.8478"
"2007-03-31","2007Q1","3.8863"
"2007-06-30","2007Q2","3.8005"
"2007-09-30","2007Q3","3.7900"
"2007-12-31","2007Q4","3.6584"
"2008-03-31","2008Q1","3.5759"
"2008-06-30","2008Q2","3.4070"
"2008-09-30","2008Q3","3.3081"
"2008-12-31","2008Q4","3.7658"
"2009-03-31","2009Q1","4.4988"
"2009-06-30","2009Q2","4.4523"
"2009-09-30","2009Q3","4.1978"
"2009-12-31","2009Q4","4.1745"
"2010-03-31","2010Q1","3.9869"
"2010-06-30","2010Q2","4.0171"
"2010-09-30","2010Q3","4.0087"
"2010-12-31","2010Q4","3.9666"
"2011-03-31","2011Q1","3.9460"
"2011-06-30","2011Q2","3.9596"
"2011-09-30","2011Q3","4.1527"
"2011-12-31","2011Q4","4.4207"
"2012-03-31","2012Q1","4.2329"
"2012-06-30","2012Q2","4.2595"
"2012-09-30","2012Q3","4.1366"
"2012-12-31","2012Q4","4.1123"
"2013-03-31","2013Q1","4.1558"
"2013-06-30","2013Q2","4.1982"
"2013-09-30","2013Q3","4.2477"
"2013-12-31","2013Q4","4.1853"
"2014-03-31","2014Q1","4.1843"
"2014-06-30","2014Q2","4.1665"
"2014-09-30","2014Q3","4.1747"
"2014-12-31","2014Q4","4.2112"
"2015-03-31","2015Q1","4.1926"
"2015-06-30","2015Q2","4.0883"
"2015-09-30","2015Q3","4.1877"
"2015-12-31","2015Q4","4.2636"
"2016-03-31","2016Q1","4.3652"
"2016-06-30","2016Q2","4.3723"
"2016-09-30","2016Q3","4.3377"
"2016-12-31","2016Q4","4.3783"
"2017-03-31","2017Q1","4.3206"
"2017-06-30","2017Q2","4.2148"
"2017-09-30","2017Q3","4.2577"
"2017-12-31","2017Q4","4.2322"
"2018-03-31","2018Q1","4.1792"
"2018-06-30","2018Q2","4.2623"
"2018-09-30","2018Q3","4.3032"
"2018-12-31","2018Q4","4.2993"
"2019-03-31","2019Q1","4.3016"
"2019-06-30","2019Q2","4.2823"
"2019-09-30","2019Q3","4.3184"
"2019-12-31","2019Q4","4.2871"
"2020-03-31","2020Q1","4.3241"
"2020-06-30","2020Q2","4.5027"
"2020-09-30","2020Q3","4.4413"
"2020-12-31","2020Q4","4.5051"
"2021-03-31","2021Q1","4.5457"
"2021-06-30","2021Q2","4.5291"
"2021-09-30","2021Q3","4.5661"
"2021-12-31","2021Q4","4.6173"
"2022-03-31","2022Q1","4.6230"
"2022-06-30","2022Q2","4.6480"
"2022-09-30","2022Q3","4.7437"
"2022-12-31","2022Q4","4.7274"
"2023-03-31","2023Q1","4.7081"
"2023-06-30","2023Q2","4.5366"
"2023-09-30","2023Q3","4.4992"
"2023-12-31","2023Q4","4.4199"
"2024-03-31","2024Q1","4.3333"
"2024-06-30","2024Q2","4.3004"
"2024-09-30","2024Q3","4.2833"
"2024-12-31","2024Q4","4.3072"
"2025-03-31","2025Q1","4.2015"
"2025-06-30","2025Q2","4.2615"
