          Prumer     SD   5.kvantil   Median   95.kvantil   n_eff   Rhat
-------  -------  -----  ----------  -------  -----------  ------  -----
A[1,1]      0.57   0.08        0.44     0.58         0.70    1248      1
A[1,2]      0.01   0.02       -0.03     0.01         0.04    1408      1
A[1,3]     -0.01   0.03       -0.06    -0.01         0.04    1811      1
A[1,4]      0.00   0.01       -0.02     0.00         0.02    1391      1
A[2,1]     -0.03   0.05       -0.12    -0.03         0.05    2605      1
A[2,2]      0.53   0.06        0.43     0.53         0.62    1228      1
A[2,3]     -0.05   0.05       -0.13    -0.05         0.02    2399      1
A[2,4]     -0.02   0.03       -0.07    -0.02         0.04    1390      1
A[3,1]      0.00   0.05       -0.08     0.00         0.07    2465      1
A[3,2]     -0.09   0.03       -0.14    -0.09        -0.03    1943      1
A[3,3]      0.55   0.07        0.44     0.55         0.66    1318      1
A[3,4]     -0.02   0.02       -0.06    -0.02         0.02    1494      1
A[4,1]     -0.36   0.23       -0.74    -0.37         0.03    1517      1
A[4,2]      0.08   0.05        0.00     0.08         0.16    1911      1
A[4,3]     -0.23   0.19       -0.54    -0.23         0.05    1902      1
A[4,4]      0.46   0.07        0.34     0.47         0.58    1185      1
B[1,1]      0.06   0.05       -0.02     0.06         0.14    1597      1
B[1,2]     -0.03   0.03       -0.08    -0.03         0.01    1337      1
B[2,1]     -0.74   0.15       -0.99    -0.74        -0.49    1435      1
B[2,2]      0.43   0.08        0.30     0.43         0.55    1584      1
B[3,1]     -0.03   0.10       -0.19    -0.03         0.13    1808      1
B[3,2]     -0.05   0.05       -0.13    -0.05         0.03    1466      1
B[4,1]      1.12   0.27        0.69     1.11         1.59    1394      1
B[4,2]      0.22   0.14       -0.01     0.22         0.46    1592      1
c[1]        0.01   0.05       -0.08     0.00         0.09    1565      1
c[2]        0.16   0.16       -0.10     0.16         0.43    1808      1
c[3]       -0.02   0.10       -0.18    -0.02         0.14    2218      1
c[4]       -0.42   0.30       -0.92    -0.42         0.07    1723      1
