"DATE","TIME PERIOD","UK pound sterling/Euro (EXR.Q.GBP.EUR.SP00.A)"
"1999-03-31","1999Q1","0.68679"
"1999-06-30","1999Q2","0.65784"
"1999-09-30","1999Q3","0.65492"
"1999-12-31","1999Q4","0.63632"
"2000-03-31","2000Q1","0.61442"
"2000-06-30","2000Q2","0.61035"
"2000-09-30","2000Q3","0.61245"
"2000-12-31","2000Q4","0.60046"
"2001-03-31","2001Q1","0.63260"
"2001-06-30","2001Q2","0.61437"
"2001-09-30","2001Q3","0.61940"
"2001-12-31","2001Q4","0.62090"
"2002-03-31","2002Q1","0.61471"
"2002-06-30","2002Q2","0.62853"
"2002-09-30","2002Q3","0.63533"
"2002-12-31","2002Q4","0.63611"
"2003-03-31","2003Q1","0.66961"
"2003-06-30","2003Q2","0.70169"
"2003-09-30","2003Q3","0.69888"
"2003-12-31","2003Q4","0.69753"
"2004-03-31","2004Q1","0.67987"
"2004-06-30","2004Q2","0.66704"
"2004-09-30","2004Q3","0.67216"
"2004-12-31","2004Q4","0.69507"
"2005-03-31","2005Q1","0.69362"
"2005-06-30","2005Q2","0.67856"
"2005-09-30","2005Q3","0.68344"
"2005-12-31","2005Q4","0.67996"
"2006-03-31","2006Q1","0.68625"
"2006-06-30","2006Q2","0.68778"
"2006-09-30","2006Q3","0.67977"
"2006-12-31","2006Q4","0.67314"
"2007-03-31","2007Q1","0.67062"
"2007-06-30","2007Q2","0.67880"
"2007-09-30","2007Q3","0.68001"
"2007-12-31","2007Q4","0.70782"
"2008-03-31","2008Q1","0.75698"
"2008-06-30","2008Q2","0.79286"
"2008-09-30","2008Q3","0.79504"
"2008-12-31","2008Q4","0.83907"
"2009-03-31","2009Q1","0.90878"
"2009-06-30","2009Q2","0.87883"
"2009-09-30","2009Q3","0.87161"
"2009-12-31","2009Q4","0.90483"
"2010-03-31","2010Q1","0.88760"
"2010-06-30","2010Q2","0.85239"
"2010-09-30","2010Q3","0.83305"
"2010-12-31","2010Q4","0.85944"
"2011-03-31","2011Q1","0.85386"
"2011-06-30","2011Q2","0.88274"
"2011-09-30","2011Q3","0.87760"
"2011-12-31","2011Q4","0.85727"
"2012-03-31","2012Q1","0.83448"
"2012-06-30","2012Q2","0.80998"
"2012-09-30","2012Q3","0.79153"
"2012-12-31","2012Q4","0.80740"
"2013-03-31","2013Q1","0.85111"
"2013-06-30","2013Q2","0.85056"
"2013-09-30","2013Q3","0.85453"
"2013-12-31","2013Q4","0.84074"
"2014-03-31","2014Q1","0.82787"
"2014-06-30","2014Q2","0.81471"
"2014-09-30","2014Q3","0.79378"
"2014-12-31","2014Q4","0.78911"
"2015-03-31","2015Q1","0.74336"
"2015-06-30","2015Q2","0.72105"
"2015-09-30","2015Q3","0.71735"
"2015-12-31","2015Q4","0.72203"
"2016-03-31","2016Q1","0.77037"
"2016-06-30","2016Q2","0.78678"
"2016-09-30","2016Q3","0.84973"
"2016-12-31","2016Q4","0.86908"
"2017-03-31","2017Q1","0.86009"
"2017-06-30","2017Q2","0.86112"
"2017-09-30","2017Q3","0.89779"
"2017-12-31","2017Q4","0.88731"
"2018-03-31","2018Q1","0.88337"
"2018-06-30","2018Q2","0.87616"
"2018-09-30","2018Q3","0.89237"
"2018-12-31","2018Q4","0.88665"
"2019-03-31","2019Q1","0.87251"
"2019-06-30","2019Q2","0.87477"
"2019-09-30","2019Q3","0.90209"
"2019-12-31","2019Q4","0.86078"
"2020-03-31","2020Q1","0.86225"
"2020-06-30","2020Q2","0.88741"
"2020-09-30","2020Q3","0.90504"
"2020-12-31","2020Q4","0.90335"
"2021-03-31","2021Q1","0.87393"
"2021-06-30","2021Q2","0.86209"
"2021-09-30","2021Q3","0.85528"
"2021-12-31","2021Q4","0.84788"
"2022-03-31","2022Q1","0.83641"
"2022-06-30","2022Q2","0.84848"
"2022-09-30","2022Q3","0.85632"
"2022-12-31","2022Q4","0.86965"
"2023-03-31","2023Q1","0.88309"
"2023-06-30","2023Q2","0.86934"
"2023-09-30","2023Q3","0.85966"
"2023-12-31","2023Q4","0.86695"
"2024-03-31","2024Q1","0.85627"
"2024-06-30","2024Q2","0.85303"
"2024-09-30","2024Q3","0.84506"
"2024-12-31","2024Q4","0.83241"
"2025-03-31","2025Q1","0.83574"
"2025-06-30","2025Q2","0.84895"
