          Prumer     SD   5.kvantil   Median   95.kvantil   n_eff   Rhat
-------  -------  -----  ----------  -------  -----------  ------  -----
A[1,1]      0.43   0.07        0.31     0.43         0.53    2970      1
A[1,2]     -0.04   0.03       -0.08    -0.04         0.01    2874      1
A[1,3]      0.00   0.04       -0.06     0.00         0.06    3437      1
A[1,4]     -0.01   0.01       -0.04    -0.01         0.01    2897      1
A[2,1]     -0.04   0.05       -0.12    -0.04         0.04    4307      1
A[2,2]      0.56   0.06        0.46     0.56         0.66    2058      1
A[2,3]     -0.05   0.05       -0.13    -0.05         0.03    4474      1
A[2,4]     -0.01   0.03       -0.05    -0.01         0.04    3097      1
A[3,1]      0.02   0.05       -0.06     0.02         0.10    3696      1
A[3,2]     -0.10   0.03       -0.16    -0.10        -0.04    2007      1
A[3,3]      0.46   0.07        0.34     0.46         0.57    3252      1
A[3,4]      0.00   0.02       -0.04     0.00         0.03    2841      1
A[4,1]     -0.18   0.22       -0.55    -0.19         0.18    3867      1
A[4,2]      0.08   0.05        0.01     0.08         0.16    4497      1
A[4,3]     -0.11   0.18       -0.40    -0.11         0.18    2822      1
A[4,4]      0.33   0.06        0.23     0.33         0.42    2874      1
B[1,1]      0.00   0.05       -0.08     0.00         0.09    2790      1
B[1,2]      0.04   0.02        0.00     0.04         0.08    3100      1
B[2,1]     -0.57   0.10       -0.74    -0.56        -0.40    3101      1
B[2,2]      0.16   0.05        0.08     0.16         0.25    3006      1
B[3,1]     -0.18   0.07       -0.30    -0.18        -0.07    2354      1
B[3,2]     -0.03   0.04       -0.09    -0.02         0.03    2992      1
B[4,1]      1.65   0.21        1.30     1.65         1.99    2542      1
B[4,2]      0.14   0.11       -0.04     0.14         0.32    3440      1
c[1]        0.11   0.08       -0.01     0.11         0.24    3160      1
c[2]        0.00   0.16       -0.25    -0.01         0.26    3529      1
c[3]        0.06   0.11       -0.12     0.06         0.23    3747      1
c[4]       -0.35   0.33       -0.89    -0.34         0.16    4011      1
