          Prumer     SD   5.kvantil   Median   95.kvantil   n_eff   Rhat
-------  -------  -----  ----------  -------  -----------  ------  -----
A[1,1]      0.62   0.07        0.51     0.62         0.73    2879      1
A[1,2]     -0.03   0.03       -0.08    -0.03         0.01    2877      1
A[1,3]      0.00   0.04       -0.05     0.00         0.06    3554      1
A[1,4]     -0.01   0.01       -0.03    -0.01         0.01    3167      1
A[2,1]     -0.03   0.05       -0.11    -0.03         0.04    4815      1
A[2,2]      0.77   0.05        0.68     0.77         0.87    3245      1
A[2,3]     -0.03   0.05       -0.10    -0.03         0.05    4745      1
A[2,4]     -0.03   0.03       -0.08    -0.03         0.01    3331      1
A[3,1]      0.02   0.05       -0.05     0.02         0.10    5454      1
A[3,2]     -0.07   0.03       -0.12    -0.07        -0.02    3035      1
A[3,3]      0.66   0.07        0.55     0.66         0.76    3620      1
A[3,4]      0.00   0.02       -0.03     0.00         0.03    3067      1
A[4,1]     -0.01   0.05       -0.09    -0.01         0.07    4115      1
A[4,2]      0.06   0.05       -0.02     0.06         0.13    4908      1
A[4,3]     -0.02   0.05       -0.10    -0.02         0.06    4633      1
A[4,4]      0.63   0.07        0.52     0.63         0.73    3157      1
B[1,1]      0.00   0.05       -0.08     0.00         0.08    2367      1
B[1,2]      0.04   0.02        0.01     0.04         0.08    3166      1
B[2,1]     -0.14   0.08       -0.27    -0.14        -0.02    2550      1
B[2,2]      0.10   0.05        0.03     0.10         0.18    3940      1
B[3,1]     -0.03   0.06       -0.12    -0.03         0.08    2242      1
B[3,2]     -0.02   0.03       -0.07    -0.02         0.03    3633      1
B[4,1]      0.20   0.09        0.04     0.19         0.35    3826      1
B[4,2]      0.10   0.08       -0.03     0.10         0.22    3440      1
c[1]        0.07   0.07       -0.05     0.07         0.19    3255      1
c[2]       -0.03   0.16       -0.29    -0.03         0.25    2394      1
c[3]        0.05   0.10       -0.12     0.04         0.22    3023      1
c[4]       -0.21   0.39       -0.88    -0.21         0.42    3956      1
